provider,name,think
ollama,gemma4:12b,false
ollama,gemma4:12b,true
ollama,gemma4:26b,false
ollama,gemma4:26b,true
ollama,gemma4:31b,false
ollama,gemma4:31b,true
ollama,gpt-oss:20b,false
ollama,gpt-oss:20b,true
ollama,granite4.1:30b,auto
ollama,laguna-xs.2:q4_K_M,false
ollama,laguna-xs.2:q4_K_M,true
ollama,nemotron-cascade-2:30b,false
ollama,nemotron-cascade-2:30b,true
ollama,nemotron3:33b,false
ollama,nemotron3:33b,true
ollama,north-mini-code-1.0:q4_K_M,false
ollama,north-mini-code-1.0:q4_K_M,true
ollama,qwen2.5vl:7b,auto
ollama,qwen3-vl:30b,false
ollama,qwen3-vl:30b,true
ollama,qwen3.6:27b,false
ollama,qwen3.6:27b,true
ollama,qwen3.6:35b,false
ollama,qwen3.6:35b,true
